SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,AU_SHORT_DESC,AU_VERSION,AUSEQ,VALUE
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,auExpSpecCode,,,S00030
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,KISWIRE,CHANGWON,,,F501FP,CodeMaskPrefix,,,RF
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,auExpSpecCode,,,S00027
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,BEKAERT,SHENYANG BSAP,,,BL01FP,CodeMaskPrefix,,,RF
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,auExpSpecCode,,,W00005
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,JIANGSU XINGDA,PLANT 2 - XING HUA,,,401CH,CodeMaskPrefix,,,RF
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,auExpSpecCode,,,S00068
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,auExpSpecCode,,,GL2084/N
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,CodeMaskPrefix,,,RF
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,auExpSpecCode,,,GTC1240SH
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,auSpecType,,,Supplier Reinforcement
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,auExpSpecCode,,,GL2090
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,auSpecType,,,Supplier Reinforcement
